1001,2022,336,5,The Housemaid,Freida McFadden,Thriller,finished
1002,2023,350,5,The Housemaid's Secret,Freida McFadden,Thriller,to-read
1003,2024,380,5,The Housemaid Is Watching,Freida McFadden,Thriller,reading
1004,2023,365,4,The Coworker,Freida McFadden,Thriller,finished
1005,2023,303,5,Never Lie,Freida McFadden,Thriller,finished
1006,2020,343,5,The Vanishing Half,Brit Bennett,Fiction,finished
1007,2020,304,5,The Midnight Library,Matt Haig,Fiction,finished
1008,2021,476,5,Project Hail Mary,Andy Weir,Sci-Fi,finished
1009,2020,448,5,The Invisible Life of Addie LaRue,V.E. Schwab,Fantasy,reading
1010,2022,352,4,The Guest List,Lucy Foley,Thriller,finished
1011,2022,368,4,The Paris Apartment,Lucy Foley,Thriller,to-read
1012,2019,336,5,The Silent Patient,Alex Michaelides,Thriller,finished
1013,2022,304,5,The Maid,Nita Prose,Mystery,finished
1014,2022,400,5,The Only One Left,Riley Sager,Thriller,to-read
1015,2022,368,4,The House Across the Lake,Riley Sager,Thriller,finished
1016,2022,392,5,Wrong Place Wrong Time,Gillian McAllister,Mystery,finished
1017,2022,384,5,The It Girl,Ruth Ware,Thriller,to-read
1018,2019,448,4,Ninth House,Leigh Bardugo,Fantasy,to-read
1019,2023,480,5,Hell Bent,Leigh Bardugo,Fantasy,reading
1020,2017,389,5,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Fiction,finished
1021,2019,368,5,Daisy Jones & The Six,Taylor Jenkins Reid,Fiction,finished
1022,2021,384,4,Malibu Rising,Taylor Jenkins Reid,Fiction,to-read
1023,2016,384,5,It Ends With Us,Colleen Hoover,Romance,finished
1024,2022,336,4,It Starts With Us,Colleen Hoover,Romance,to-read
1025,2014,336,5,Ugly Love,Colleen Hoover,Romance,finished
1026,2018,368,5,Verity,Colleen Hoover,Thriller,finished
1027,2021,416,5,The Prison Healer,Lynette Noni,Fantasy,to-read
1028,2020,384,5,The Inheritance Games,Jennifer Lynn Barnes,Mystery,finished
1029,2021,386,5,The Hawthorne Legacy,Jennifer Lynn Barnes,Mystery,to-read
1030,2022,400,5,The Final Gambit,Jennifer Lynn Barnes,Mystery,to-read
1031,2021,464,5,The Four Winds,Kristin Hannah,Historical Fiction,finished
1032,2015,440,5,The Nightingale,Kristin Hannah,Historical Fiction,finished
1033,2021,368,4,The Road Trip,Beth O Leary,Romance,finished
1034,2017,336,5,The Light We Lost,Jill Santopolo,Romance,to-read
1035,2022,432,5,The It Girl,Ruth Ware,Thriller,finished
1036,2016,352,4,The Woman in Cabin 10,Ruth Ware,Thriller,to-read
1037,2023,416,5,Happy Place,Emily Henry,Romance,finished
1038,2022,384,4,Book Lovers,Emily Henry,Romance,to-read
1039,2021,368,5,People We Meet on Vacation,Emily Henry,Romance,finished
1040,2024,512,5,House of Flame and Shadow,Sarah J. Maas,Fantasy,reading
1041,2020,648,5,Crescent City,Sarah J. Maas,Fantasy,finished
1042,2021,768,5,A Court of Silver Flames,Sarah J. Maas,Fantasy,to-read
1043,2023,336,5,Yellowface,R.F. Kuang,Fiction,finished
1044,2022,336,4,Babel,R.F. Kuang,Fiction,to-read
1045,2022,368,5,Tomorrow and Tomorrow and Tomorrow,Gabrielle Zevin,Fiction,finished
1046,2021,336,4,The Push,Ashley Audrain,Thriller,finished
1047,2020,336,5,The Wife Between Us,Greer Hendricks,Thriller,finished
1048,2018,352,5,The Woman in the Window,A.J. Finn,Thriller,finished
1049,2017,400,4,The Lying Game,Ruth Ware,Thriller,finished
1050,2012,304,5,Gone Girl,Gillian Flynn,Thriller,finished
1051,1988,268,5,The Alchemist,Paulo Coelho,Fiction,finished
1052,1960,281,5,To Kill a Mockingbird,Harper Lee,Classic,finished
1053,1949,328,5,1984,George Orwell,Classic,finished
1054,1954,423,5,The Fellowship of the Ring,J.R.R. Tolkien,Fantasy,finished
1055,1937,304,5,The Hobbit,J.R.R. Tolkien,Fantasy,finished
1056,1813,279,5,Pride and Prejudice,Jane Austen,Classic,finished
